guests,Price_Night,Value_rate,amenities_count
4.0,120.0,4.6,34.0
4.0,189.0,4.9,49.0
10.0,297.0,4.8,69.0
4.0,186.0,4.7,59.0
6.0,81.0,4.9,29.0
2.0,79.0,4.8,41.0
2.0,111.0,4.9,53.0
4.0,163.0,4.9,32.0
2.0,94.0,4.9,48.0
12.0,364.0,5.0,72.0
6.0,184.0,4.9,70.0
6.0,200.0,4.7,46.0
6.0,163.0,4.9,37.0
4.0,120.0,4.9,21.0
4.0,143.0,4.8,51.0
4.0,120.0,4.8,27.0
2.0,148.0,4.4,41.0
2.0,130.0,5.0,48.0
4.0,150.0,4.8,15.0
4.0,90.0,4.7,25.0
2.0,64.0,4.9,23.0
6.0,164.0,4.8,24.0
4.0,144.0,4.6,26.0
6.0,92.0,4.9,37.0
6.0,166.0,4.8,40.0
6.0,253.0,4.6,45.0
6.0,146.0,4.5,54.0
4.0,148.0,4.8,35.0
2.0,178.0,4.7,38.0
4.0,220.0,4.8,45.0
4.0,251.0,4.8,30.0
2.0,82.0,5.0,44.0
2.0,69.0,4.7,19.0
8.0,164.0,4.5,50.0
2.0,85.0,5.0,22.0
8.0,354.0,4.8,54.0
4.0,141.0,4.5,38.0
1.0,72.0,5.0,28.0
4.0,75.0,5.0,29.0
5.0,181.0,4.8,29.0
4.0,62.0,4.8,61.0
2.0,118.0,5.0,38.0
4.0,140.0,4.8,51.0
6.0,71.0,5.0,21.0
10.0,399.0,4.7,61.0
4.0,118.0,4.9,38.0
5.0,208.0,4.9,18.0
8.0,48.0,4.9,41.0
4.0,110.0,4.6,51.0
4.0,41.0,4.7,36.0
5.0,103.0,5.0,39.0
4.0,112.0,4.8,58.0
4.0,50.0,5.0,16.0
2.0,149.0,4.8,30.0
3.0,226.0,4.7,30.0
4.0,86.0,4.6,12.0
6.0,276.0,4.8,35.0
2.0,171.0,5.0,22.0
2.0,146.0,4.8,16.0
5.0,87.0,4.7,12.0
2.0,63.0,4.9,25.0
4.0,96.0,4.9,24.0
5.0,125.0,4.7,41.0
2.0,282.0,4.9,19.0
2.0,132.0,4.5,60.0
2.0,99.0,4.9,38.0
1.0,330.0,4.7,4.0
2.0,47.0,4.7,41.0
2.0,162.0,4.8,20.0
10.0,329.0,4.7,38.0
2.0,233.0,4.7,18.0
6.0,478.0,4.8,25.0
6.0,77.0,4.6,22.0
2.0,38.0,5.0,13.0
5.0,93.0,4.8,54.0
8.0,220.0,4.9,63.0
4.0,670.0,4.8,15.0
4.0,92.0,4.8,37.0
4.0,165.0,4.7,23.0
2.0,187.0,4.7,37.0
6.0,84.0,4.8,49.0
3.0,65.0,4.8,39.0
4.0,210.0,5.0,33.0
